href,language_num,sex,birth_place,native_language,other_languages,age_sex,age_of_english_onset,english_learning_method,english_residence,length_of_english_residence,age
,jeollado/jeollado0031,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0032,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0033,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0034,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0035,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0036,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0037,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0038,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0039,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0040,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0041,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0042,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0043,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0044,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0045,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0046,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0047,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0048,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0049,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0050,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0051,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0052,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0053,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0054,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0055,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0056,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0057,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0058,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0059,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0060,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0061,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0062,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0063,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0064,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0065,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0066,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0067,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0068,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0069,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0070,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0071,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0072,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0073,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0074,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0075,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0076,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0077,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0078,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0079,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0080,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0081,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0082,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0083,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0084,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0085,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0086,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0087,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0088,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0089,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0090,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0091,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0092,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0093,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0094,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0095,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0096,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0097,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0098,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0099,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,jeollado/jeollado0100,,"['Jeollado,', 'Jeollado']",Jeollado,['none'],,,,,,
,gyeonggido/20male/mv01_t01_s01,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s02,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s03,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s04,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s05,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s06,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s07,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s08,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s09,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s10,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s11,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s12,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s13,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s14,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s15,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s16,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s17,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s18,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s19,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s20,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s21,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s22,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s23,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s24,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s25,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s26,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s27,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s28,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s29,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s30,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s31,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s32,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s33,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s34,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s35,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s36,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s37,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s38,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s39,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s40,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s41,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s42,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s43,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s44,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s45,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s46,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s47,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s48,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s49,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s50,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t01_s51,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s01,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s02,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s03,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s04,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s05,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s06,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s07,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s08,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s09,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s10,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s11,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s12,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s13,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s14,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s15,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s16,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s17,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s18,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s19,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s20,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s21,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s22,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s23,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s24,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s25,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s26,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s27,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s28,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s29,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s30,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s31,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s32,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s33,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s34,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s35,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s36,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s37,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s38,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s39,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s40,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s41,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s42,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s43,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s44,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s45,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s46,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s47,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s48,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeonggido/20male/mv01_t02_s49,male,"['gyeonggido,', 'gyeonggido']",gyeonggido,['none'],"['24,', 'male', '']",24,academic,['korea'],24,24
,gyeongsangdo/gyeongsangdo0001,,"['gyeongsangdo,', 'gyeongsangdo']",gyeongsangdo,['none'],,,,,,
,gyeongsangdo/gyeongsangdo0002,,"['gyeongsangdo,', 'gyeongsangdo']",gyeongsangdo,['none'],,,,,,
,gyeongsangdo/gyeongsangdo0003,,"['gyeongsangdo,', 'gyeongsangdo']",gyeongsangdo,['none'],,,,,,
,gyeongsangdo/gyeongsangdo0004,,"['gyeongsangdo,', 'gyeongsangdo']",gyeongsangdo,['none'],,,,,,
,gyeongsangdo/gyeongsangdo0005,,"['gyeongsangdo,', 'gyeongsangdo']",gyeongsangdo,['none'],,,,,,
,gyeongsangdo/gyeongsangdo0006,,"['gyeongsangdo,', 'gyeongsangdo']",gyeongsangdo,['none'],,,,,,
,gyeongsangdo/gyeongsangdo0007,,"['gyeongsangdo,', 'gyeongsangdo']",gyeongsangdo,['none'],,,,,,
,gyeongsangdo/gyeongsangdo0008,,"['gyeongsangdo,', 'gyeongsangdo']",gyeongsangdo,['none'],,,,,,
,gyeongsangdo/gyeongsangdo0009,,"['gyeongsangdo,', 'gyeongsangdo']",gyeongsangdo,['none'],,,,,,
,gyeongsangdo/gyeongsangdo0010,,"['gyeongsangdo,', 'gyeongsangdo']",gyeongsangdo,['none'],,,,,,
,gyeongsangdo/gyeongsangdo0011,,"['gyeongsangdo,', 'gyeongsangdo']",gyeongsangdo,['none'],,,,,,
,gyeongsangdo/gyeongsangdo0012,,"['gyeongsangdo,', 'gyeongsangdo']",gyeongsangdo,['none'],,,,,,
,gyeongsangdo/gyeongsangdo0013,,"['gyeongsangdo,', 'gyeongsangdo']",gyeongsangdo,['none'],,,,,,
,gyeongsangdo/gyeongsangdo0014,,"['gyeongsangdo,', 'gyeongsangdo']",gyeongsangdo,['none'],,,,,,
,gyeongsangdo/gyeongsangdo0015,,"['gyeongsangdo,', 'gyeongsangdo']",gyeongsangdo,['none'],,,,,,
,gyeongsangdo/gyeongsangdo0016,,"['gyeongsangdo,', 'gyeongsangdo']",gyeongsangdo,['none'],,,,,,
